K2s;0.53;0.35;0.26;0.21;0.18;0.16;0.14;0.13;0.12;
K2o;0.50;0.31;0.22;0.17;0.14;0.12;0.10;0.09;0.08;
QQ;0.80;0.65;0.54;0.45;0.38;0.33;0.28;0.25;0.22;
QJs;0.60;0.44;0.36;0.30;0.26;0.23;0.21;0.19;0.17;
QJo;0.58;0.41;0.33;0.27;0.23;0.20;0.17;0.15;0.14;
QTs;0.60;0.43;0.35;0.29;0.25;0.22;0.20;0.18;0.17;
QTo;0.57;0.40;0.31;0.26;0.22;0.19;0.16;0.14;0.13;
Q9s;0.58;0.41;0.32;0.26;0.23;0.20;0.18;0.16;0.15;
Q9o;0.56;0.38;0.29;0.23;0.19;0.16;0.14;0.12;0.11;
Q8s;0.56;0.39;0.30;0.24;0.21;0.18;0.16;0.14;0.13;
Q8o;0.54;0.35;0.26;0.21;0.17;0.14;0.12;0.11;0.09;
Q7s;0.55;0.37;0.28;0.23;0.19;0.17;0.15;0.13;0.12;
Q7o;0.52;0.33;0.24;0.19;0.15;0.13;0.11;0.09;0.08;
Q6s;0.54;0.36;0.27;0.22;0.19;0.16;0.14;0.13;0.12;
Q6o;0.51;0.32;0.23;0.18;0.14;0.12;0.10;0.09;0.08;
Q5s;0.53;0.35;0.26;0.21;0.18;0.16;0.14;0.13;0.12;
Q5o;0.50;0.31;0.22;0.17;0.14;0.12;0.10;0.09;0.07;
Q4s;0.52;0.34;0.26;0.21;0.18;0.15;0.14;0.12;0.11;
Q4o;0.49;0.30;0.21;0.16;0.13;0.11;0.09;0.08;0.07;
Q3s;0.51;0.33;0.25;0.20;0.17;0.15;0.13;0.12;0.11;
Q3o;0.48;0.29;0.21;0.16;0.13;0.11;0.09;0.08;0.07;
Q2s;0.50;0.32;0.24;0.20;0.17;0.15;0.13;0.12;0.11;
Q2o;0.47;0.28;0.20;0.15;0.12;0.10;0.09;0.08;0.07;
JJ;0.78;0.61;0.49;0.40;0.34;0.29;0.25;0.22;0.19;
JTs;0.58;0.42;0.34;0.29;0.25;0.22;0.20;0.18;0.17;
JTo;0.55;0.39;0.31;0.25;0.22;0.19;0.16;0.15;0.13;
J9s;0.56;0.40;0.31;0.26;0.22;0.20;0.18;0.16;0.15;
J9o;0.53;0.37;0.28;0.23;0.19;0.16;0.14;0.12;0.11;
J8s;0.54;0.38;0.29;0.24;0.21;0.18;0.16;0.14;0.13;
J8o;0.52;0.34;0.26;0.20;0.17;0.14;0.12;0.11;0.10;
J7s;0.52;0.35;0.27;0.22;0.19;0.16;0.15;0.13;0.12;
J7o;0.50;0.32;0.24;0.18;0.15;0.12;0.11;0.09;0.08;
J6s;0.51;0.34;0.25;0.21;0.17;0.15;0.14;0.12;0.11;
J6o;0.48;0.30;0.21;0.17;0.13;0.11;0.09;0.08;0.07;
J5s;0.50;0.33;0.25;0.20;0.17;0.15;0.13;0.12;0.11;
J5o;0.47;0.29;0.21;0.16;0.13;0.11;0.09;0.08;0.07;
J4s;0.49;0.32;0.24;0.19;0.16;0.14;0.13;0.12;0.11;
J4o;0.46;0.28;0.20;0.15;0.12;0.10;0.09;0.08;0.07;
J3s;0.48;0.31;0.23;0.19;0.16;0.14;0.13;0.11;0.10;
J3o;0.45;0.27;0.19;0.15;0.12;0.10;0.08;0.07;0.06;
J2s;0.47;0.30;0.23;0.18;0.16;0.14;0.12;0.11;0.10;
J2o;0.44;0.26;0.18;0.14;0.11;0.09;0.08;0.07;0.06;
TT;0.75;0.58;0.45;0.36;0.30;0.25;0.22;0.19;0.17;
T9s;0.54;0.39;0.31;0.26;0.23;0.20;0.18;0.16;0.15;
T9o;0.52;0.36;0.28;0.23;0.19;0.16;0.14;0.13;0.11;
T8s;0.53;0.37;0.29;0.24;0.21;0.18;0.16;0.15;0.14;
T8o;0.50;0.34;0.25;0.20;0.17;0.14;0.13;0.11;0.10;
T7s;0.51;0.35;0.27;0.22;0.19;0.17;0.15;0.14;0.12;
T7o;0.48;0.31;0.23;0.18;0.15;0.13;0.11;0.10;0.09;
T6s;0.49;0.33;0.25;0.21;0.17;0.15;0.14;0.12;0.11;
T6o;0.46;0.29;0.21;0.17;0.13;0.11;0.10;0.08;0.07;
T5s;0.47;0.31;0.23;0.19;0.16;0.14;0.12;0.11;0.10;
